Title,Film
"The Bridges at Toko-Ri (1953), James A. Michener",The Bridges at Toko-Ri (1953)
"The Bridges of Madison County (a. k. a. Love in Black and White) (1992), Robert James Waller",The Bridges of Madison County (1995)
"Bridget Jones (1996–1999) (series), Helen FieldingBridget Jones's Diary (1996)* Bridget Jones: The Edge of Reason (1999)",Bridget Jones (2001–2004) (series)Bridget Jones's Diary (2001)* Bridget Jones: The Edge of Reason (2004)
"Bright Lights, Big City (1984), Jay McInerney","Bright Lights, Big City (1988)"
"Brighton Rock (1938), Graham Greene",Brighton Rock (1947)Brighton Rock (2010)
"Bringing Out the Dead (1998), Joe Connelly",Bringing Out the Dead (1999)
"Brødre i Blodet (Brothers by Blood) (1996), Ingvar Ambjørnsen",Elling (2001)* Mors Elling (2003)** Elsk meg i morgen (2005)
"Broken April (1978), Ismail Kadare",Abril Despedaçado (Behind the Sun) (2001)
"Brothers in Law (1955), Henry Cecil",Brothers in Law (1957)
"The Brothers Karamazov (1880), Fyodor Dostoyevsky",The Brothers Karamazov (1958)The Brothers Karamazov (1969)
"Brown's Requiem (1981), James Ellroy",Brown's Requiem (1998)
"Buddwing (1964), Evan Hunter",Mister Buddwing (1966)
"Buffalo Girls (1990), Larry McMurtry",Buffalo Girls (1995) (TV)
"Buffalo Soldiers (1993), Robert O'Connor",Buffalo Soldiers (2003)
"Bump in the Night (1988), Isabelle Holland",Bump in the Night (1991)
"The Burglar in the Closet (1978), Lawrence Block",Burglar (1987)
"El burlador de Sevilla y convidado de piedra (The Trickster of Seville and the Stone Guest) (1616–1630), Tirso de Molina",Don Juan (1926)
"[[Louis L'Amour#Novels - The Burning Hills (1956) ISBN 0-553-28210-7|The Burning Hills]] (1956), Louis L'Amour",The Burning Hills (1956)
"The Burning Shore (1985), Wilbur Smith",Burning Shore (1991)
"Burton and Speke (1982), William Harrison",Mountains of the Moon (1990)
"The Busy Body (1966), Donald E. Westlake",The Busy Body (1967)
"But Gentlemen Marry Brunettes (1927), Anita Loos",Gentlemen Marry Brunettes (1955)
"BUtterfield 8 (1935), John O'Hara",BUtterfield 8 (1960)
"By the Great Horn Spoon! (1963), Sid Fleischman",The Adventures of Bullwhip Griffin (1967)
"The Caine Mutiny (1952), Herman Wouk",The Caine Mutiny (1954)The Caine Mutiny Court-Martial (1955) (TV)The Caine Mutiny Court-Martial (1988) (TV)
"Cal (1983), Bernard MacLaverty",Cal (1984)
"Call for the Dead (1961), John le Carré",The Deadly Affair (1966)
Call Me By Your Name (2007),Call Me By Your Name (2017)
"Call It Treason (1949), George Howe",Decision Before Dawn (1951)
"The Call of the Wild (1903), Jack London","The Call of the Wild (1935)The Call of the Wild (1972)What a Nightmare, Charlie Brown! (1978) (TV)The Call of the Wild (1993) (TV)The Call of the Wild: Dog of the Yukon (1997)Call of the Wild (2009)Disney's The Call of the Wild (TBA 2016)"
"Candy: A Novel of Love and Addiction (1998), Luke Davies",Candy (2006)
"Canterbury Tales (Fourteenth Century), Geoffrey Chaucer",Canterbury Tales (1972)
"Canyon Passage (1945), Ernest Haycox",Canyon Passage (1946)
"Captain Blood: His Odyssey (1922), Rafael Sabatini","Captain Blood (1924)Captain Blood (1935)Fortunes of Captain Blood (1950)* Captain Pirate (1952) (a. k. a. Captain Blood, Fugitive, UK only)* The Son of Captain Blood (1962)Odyssey of Captain Blood (1991)"
"A Captive in the Land (1962), James Aldridge",A Captive in the Land (1990)
"The Captives (1955), Elmore Leonard",The Tall T (1957)
"Car, Boy, Girl (1961), Gordon Buford","Herbie, the Love Bug (1968–2005) (series)The Love Bug (1968)* Herbie Rides Again (1974)** Herbie Goes to Monte Carlo (1977)** * Herbie Goes Bananas (1980)** ** The Love Bug (1997) (TV)** ** * Herbie: Fully Loaded (2005)"
"The Card (1911), Arnold Bennett",The Card (1952)
"Careful, He Might Hear You (1963), Sumner Locke Elliott","Careful, He Might Hear You (1983)"
"Carlito's Way (1975), Edwin Torres* After Hours (1979), Edwin Torres",Carlito's Way (1993)* Carlito's Way: Rise to Power (2005)
"The Carpetbaggers (1961), Harold Robbins","The Carpetbaggers, (1964)* Nevada Smith (1964) (prequel)** Nevada Smith Tv (1975) (TV) (failed pilot to TV series of same name)"
"La Casa de los Espíritus (The House of the Spirits) (1982), Isabel Allende",The House of the Spirits (1993)
"A Case of Need (1968), Michael Crichton (as Jeffery Hudson)",The Carey Treatment (1972)
"Les carnets du Major Thompson (The Trophies of Major Thompson) (1954), Pierre Daninos","The French, They Are a Funny Race (1955)"
"Case File: FBI (1953), Gordon Gordon and Mildred Gordon (as John Ripley)",Down Three Dark Streets (1954)
"Cash McCall (1955), Cameron Hawley",Cash McCall (1960)
"Casino Royale (1953), Ian Fleming",Casino Royale (1967)Casino Royale (2006)
"The Castle (1926), Franz Kafka",The Castle (1968)The Castle (1994)The Land Surveyor (Землемер) (1994)Das Schloß (1997)
"Car Chaser (1982), Elmore Leonard",Cat Chaser (1989)
"The Cat That Walked by Himself (1902), Rudyard Kipling",The Cat Who Walked by Herself (1988)
"Catch-22 (1961), Joseph Heller",Catch-22 (1970)
"[[Louis L'Amour#Novels - Catlow (1963) ISBN 0-553-24767-0|Catlow]] (1963), Louis L'Amour",Catlow (1971)
"The Caveman's Valentine (1994), George Dawes Green",The Caveman's Valentine (2001)
"Les cerfs-volants (1980), Romain Gary",Les cerfs-volants (2007) (TV)
"Celle qui n'était plus (The Woman Who Was No More (U.S. edition only, 1954)) (1952), Pierre Boileau and Thomas Narcejac",Les Diaboliques (1955)Diabolique (1996)
"The Cement Garden (1978), Ian McEwan",The Cement Garden (1993)
"Centennial (1974), James A. Michener",Centennial (1978) (TV)
"A Certain Mr. Takahashi (1985), Ann Ireland",The Pianist (1991)
"La chair du maître (1997), Dany Laferrière",Vers le Sud (Heading South) (2005)
"The Chamber (1994), John Grisham",The Chamber (1996)
"La chambre bleue (The Blue Room) (1964), Georges Simenon",La Habitación azul (The Blue Room) (2002)
"Champagne (1926), Walter C. Mycroft",Champagne (1928)
"The Chancellor Manuscript (1977), Robert Ludlum",The Chancellor Manuscript (TBA 2012)
"Changhen Ge (1995), Wang Anyi",Everlasting Regret (2005)
"Charlie and the Chocolate Factory (1964), Roald Dahl",Willy Wonka & the Chocolate Factory (1971)Charlie and the Chocolate Factory (2005)
"Charlie Chan Carries On (1930), Earl Derr Biggers",Charlie Chan Carries On (1931)Charlie Chan's Murder Cruise (1940)
"Charlie M (1977), Brian Freemantle",Charlie Muffin (1979) (TV)
"Charlotte Gray (1999), Sebastian Faulks",Charlotte Gray (2001)
"Charlotte's Web (1952), E. B. White",Charlotte's Web (1973)* Charlotte's Web 2: Wilbur's Great Adventure (2003) (V)Charlotte's Web (2006)
"Chateau Bon Vivant (1969), Frankie O'Rear and John O'Rear",Snowball Express (1972)
"The Cheetah Girls (1999–2006) (series), Deborah Gregory",The Cheetah Girls (2003–2008) (series)The Cheetah Girls (2003) (TV)* The Cheetah Girls 2 (2006) (TV)** The Cheetah Girls: One World (2008) (TV)
"The Children of Light (1960), H. L. Lawrence",The Damned (1963)
"The Children of Men (1992), P. D. James",Children of Men (2006)
"Children of Pleasure (1932), Larry Barretto",The Crash (1932)
"The Children of Sanchez (1961), Oscar Lewis",The Children of Sanchez (1978)
"Children of the Covered Wagon (1951), Mary Jane Carr","Westward Ho, the Wagons! (1956)"
"China Seas (1934), Crosbie Garstin",China Seas (1935)
"The Chinese Parrot (1926), Earl Derr Biggers",The Chinese Parrot (1927)
"Chocolat (1999), Joanne Harris",Chocolat (2000)
"The Chocolate War (1974), Robert Cormier",The Chocolate War (1988)
"Christine (1983), Stephen King",Christine (1983)
"Christmas at Candleshoe (1953), J. I. M. Stewart (as Michael Innes)",Candleshoe (1977)
"Christmas at Twenty-Nine (2002), Kamato Toshio",Singles (2003)
"A Christmas Gift (a. k. a. The Melodeon) (1977), Glendon Swarthout",Kelly & Dolly: A Christmas to Remember (1984) (TV)
"Christmas Holiday (1939), W. Somerset Maugham",Christmas Holiday (1944)
"The Christmas Shoes (2002), Donna VanLiere",The Christmas Shoes (2002)* The Christmas Blessing (2005)** The Christmas Hope (2009)
"Christopher Strong (1932), Gilbert Frankau",Christopher Strong (1933)
"The Chronicles of Narnia (1950–1956) (series), C. S. LewisThe Lion, the Witch and the Wardrobe (1950)* Prince Caspian (1951)** The Voyage of the Dawn Treader (1952)** * The Silver Chair (1953)** ** * The Magician's Nephew (1955)","The Lion, the Witch and the Wardrobe (1967) (TV) (serial)The Lion, the Witch and the Wardrobe (1979) (TV)The Chronicles of Narnia (1988–1990) (TV) (serial)The Lion, the Witch and the Wardrobe (1988)* Prince Caspian and The Voyage of the Dawn Treader (1989)** The Silver Chair (1990)The Chronicles of Narnia (2005–present) (series)The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)* The Chronicles of Narnia: Prince Caspian (2008)** The Chronicles of Narnia: The Voyage of the Dawn Treader (2010)** * The Chronicles of Narnia: The Magician's Nephew (2012)"
"The Chronicles of Prydain (1964–1968) (series), Lloyd AlexanderThe Book of Three (1964)* The Black Cauldron (1965)",The Black Cauldron (1985)
"The Cider House Rules (1985), John Irving",The Cider House Rules (1999)
"Cimarron (1929), Edna Ferber",Cimarron (1931)Cimarron (1960)
"The Cincinnati Kid (1964), Richard Jessup",The Cincinnati Kid (1965)
"Cinderella Liberty (1973), Darryl Ponicsan",Cinderella Liberty (1973)
"Cinq semaines en ballon (Five Weeks in a Balloon) (1863), Jules Verne",Flight of the Lost Balloon (1961)Five Weeks in a Balloon (1962)Viaje Fantástico en Globo (1975)
"The Circus of Dr. Lao (1935), Charles G. Finney",7 Faces of Dr. Lao (1964)
"Cirque Du Freak: The Saga of Darren Shan (2000–2006) (series), Darren ShanCirque du Freak (2000)* The Vampire's Assistant (2000)** Tunnels of Blood (2000)",Cirque du Freak: The Vampire's Assistant (2009)
"The Citadel (1937), A. J. Cronin",The Citadel (1938)
"The City of Ember (2003), Jeanne DuPrau",City of Ember (2008)
"City of God (Cidade de Deus) (1997), Paulo Lins",City of God (2002)
"Clair de femme (1977), Romain Gary",Clair de femme (1979)
"The Clan of the Cave Bear (1980), Jean Auel",The Clan of the Cave Bear (1986)
"Ku Klux Klan Trilogy (1902–1907) (series), Thomas Dixon, Jr.The Leopard's Spots (1902)* The Clansman (1905)** The Traitor (1907)",The Birth of a Nation (1915)* The Fall of a Nation (1916)
"Class Reunion (Der Abituriententag) (1928), Franz Werfel",Class Reunion (1974) (TV)
"Clean Break (1955), Lionel White",The Killing (1956)
"Clear and Present Danger (1989), Tom Clancy",Clear and Present Danger (1994)
"The Client (1993), John Grisham",The Client (1994)
"Clockers (1992), Richard Price",Clockers (1995)
"A Clockwork Orange (1962), Anthony Burgess",Vinyl (1965)A Clockwork Orange (1971)
"El Club Dumas (The Club Dumas) (1993), Arturo Pérez-Reverte",The Ninth Gate (1999)
"Cockfighter (1962), Charles Willeford",Cockfighter (1974)
"Cocoon (1985), David Saperstein",Cocoon (1985)* Cocoon: The Return (1988)
"The Code of the West (1934), Zane Grey",Code of the West (1925)Code of the West (1947)
"Coins in the Fountain (1952), John Hermes Secondari",Three Coins in the Fountain (1954)The Pleasure Seekers (1964)Coins in the Fountain (1990)
"Cold Mountain (1997), Charles Frazier",Cold Mountain (2003)
"The Color of Money (1984), Walter Tevis",The Color of Money (1986)
"The Color Purple (1982), Alice Walker",The Color Purple (1985)
"The Colors of the Day (1952), Romain Gary",The Man Who Understood Women (1959)
"Colossus (1966), Dennis Feltham Jones",Colossus: The Forbin Project (1970)
"The Comfort of Strangers (1981), Ian McEwan",The Comfort of Strangers (1990)
"Como agua para chocolate (Like Water for Chocolate) (1989), Laura Esquivel",Like Water for Chocolate (1992)
"Compulsion (1956), Meyer Levin",Compulsion (1959)
"Comrade Jacob (1961), David Caute",Winstanley (1975)
"Comrades (1909), Thomas Dixon, Jr.",Bolshevism on Trial (1919)
"The Constant Nymph (1923), Margaret Kennedy",The Constant Nymph (1928)The Constant Nymph (1933)The Constant Nymph (1943)
"Cool Hand Luke (1965), Donn Pearce",Cool Hand Luke (1967)
"Le comte de Monte Cristo (The Count of Monte Cristo) (1844-1846), Alexandre Dumas, père",The Count of Monte Cristo (1908)The Count of Monte Cristo (1913)The Count of Monte Cristo (1929)The Count of Monte Cristo (1934)* The Son of Monte Cristo (1940)** The Return of Monte Cristo (a. k. a. Monte Cristo's Revenge) (1946)El Conde de Monte Cristo (The Count of Monte Cristo) (1943)The Count of Monte Cristo (1943)Mask of the Avenger (1951)The Count of Monte Cristo (1958) (TV)The Count of Monte Cristo (1961)The Treasure of Monte Cristo (1961)The Return of Monte Cristo (a. k. a.Under the Sign of Monte Carlo) (1968)The Count of Monte Cristo (1975) (TV)The Count of Monte Cristo (1979) (TV) (serial)The Count of Monte Cristo (1955)Padayottam (1982)Veta (1986)Uznik Zamka If (1988)The Count of Monte Cristo (1998) (TV) (mini)The Count of Monte Cristo (2002)
"The Comedians (1966), Graham Greene",The Comedians (1967)
"[[Louis L'Amour#Novels - Conagher (1968) ISBN 0-553-28101-1|Conagher]] (1968), Louis L'Amour",Conagher (1991) (TV)
"La comtesse de Cagliostro (1924), Maurice Leblanc",Arsène Lupin (2004)
"Confessions of a Crap Artist (1975), Philip K. Dick",Confessions d'un Barjo (Confessions of a Barjo) (1992)
"Congo (1980), Michael Crichton",Congo (1995)
"A Connecticut Yankee in King Arthur's Court (1889), Mark Twain",A Connecticut Yankee in King Arthur's Court (1921)A Connecticut Yankee (1931)A Connecticut Yankee in King Arthur's Court (1949)A Connecticut Yankee (1955) (TV)Un español en la corte del rey Arturo (1964)A Connecticut Rabbit in King Arthur's Court (1978) (TV)Unidentified Flying Oddball (1979)Novye priklyucheniya yanki pri dvore korolya Artura (1988)A Connecticut Yankee in King Arthur's Court (1989) (TV)A Kid in King Arthur's Court (1995)* A Kid in Aladdin's Palace (1998) (TV)A Young Connecticut Yankee in King Arthur's Court (1996)A Knight in Camelot (1998) (TV)Black Knight (2001)
"The Constant Gardener (2001), John le Carré",The Constant Gardener (2005)
"Contact (1985), Carl Sagan",Contact (1997)
"Cool Hand Luke (1965), Donn Pearce",Cool Hand Luke (1967)
"Cops and Robbers (1972), Donald E. Westlake",Cops and Robbers (1973)
"Corazón salvaje (Wild Heart) (1957), Caridad Bravo Adams",Corazón salvaje (1956)Juan del Diablo (1960)Corazón salvaje (1968)
"Coroner Creek (1945), Luke Short",Coroner Creek (1948)
"The Cowboys (1971), William Dale Jennings",The Cowboys (1972)
"Cracking India (1991), Bapsi Sidhwa",Earth (1998)
"Crash (1973), J. G. Ballard",Crash (1996)
"Creator (1980), Jeremy Leven",Creator (1985)
"O Crime do Padre Amaro (The Crime of Father Amaro, a. k. a. The Sins of Father Amaro) (1875), José Maria de Eça de Queiroz",El crimen del Padre Amaro (The Crime of Father Amaro) (2002)O Crime do Padre Amaro (2005) (TV)
"[[Louis L'Amour#Novels - Crossfire Trail (1954) ISBN 0-553-28099-6|Crossfire Trail]] (1954), Louis L'Amour",Crossfire Trail (2001) (TV)
"Crouching Tiger, Hidden Dragon (1942), Wang Dulu","Crouching Tiger, Hidden Dragon (2000)"
"The Cruel Sea (1951), Nicholas Monsarrat",The Cruel Sea (1953)
"Cry Wolf (a. k. a. The Demarest Inheritance) (1945), Marjorie Carleton",Cry Wolf (1947)
"Cutter and Bone (1976), Newton Thornburg",Cutter's Way (1981)
"Cyborg (1972), Martin Caidin",The Six Million Dollar Man (1973) (TV)
"Cycle of the Werewolf (1983), Stephen King",Silver Bullet (1985)
"The Cypher (a. k. a. The Cipher) (1961), Gordon Cotler",Arabesque (1966)
