Author,Title,ID
,Brick Lane,18723
,War and Peace,656
,"Raise the Titanic! (Dirk Pitt, #4)",41706
,Of Love and Shadows,16532
,The Milagro Beanfield War,39242
,Fatherland,56842
,Bury My Heart at Wounded Knee: An Indian History of the American West,76401
,"Thunderball (James Bond, #9)",177194
,"L.A. Confidential (L.A. Quartet, #3)",57727
,"Blackwood Farm (The Vampire Chronicles, #9)",31337
,A Home at the End of the World,386242
,"The Lord of the Rings (The Lord of the Rings, #1-3)",33
,The Flanders Panel,11031
,The Woman in Black,37034
,The Jungle Book,77270
,"Diamonds Are Forever (James Bond, #4)",3760
,The Men Who Stare at Goats,1824
,The Stranger,49552
,Pinocchio,180617
,"A Dance with Dragons (A Song of Ice and Fire, #5)",10664113
,"To Your Scattered Bodies Go (Riverworld, #1)",189147
,The Hundred and One Dalmatians & The Starlight Barking (The Hundred and One Dalmatians #1-2),4838228
,"Orchid Beach (Holly Barker, #1)",410741
,Looking for Alibrandi,82436
,"A Feast for Crows (A Song of Ice and Fire, #4)",13497
,See Jane Run,253993
,"Gods and Generals (The Civil War Trilogy, #1)",449355
,The Body in the Library (Miss Marple #3),16319
,Brideshead Revisited: The Sacred and Profane Memories of Captain Charles Ryder,30933
,"A Storm of Swords (A Song of Ice and Fire, #3)",62291
,The Razor's Edge,31196
,"Devil in a Blue Dress (Easy Rawlins, #1)",37100
,The Adventures of Sherlock Holmes,3590
,Naked Lunch,7437
,"Underworld (Underworld, #1)",33024
,Marathon Man,21796
,"The Name of the Wind (The Kingkiller Chronicle, #1)",186074
,Planet of the Apes,414895
,"I Hope They Serve Beer in Hell (Tucker Max, #1)",9010
,Snow White & the Huntsman,13273621
,The Magus,16286
,"Death on the Nile (Hercule Poirot, #17)",131359
,The Wind in the Willows,5659
,"The Outsider (Roswell High, #1)",176178
,"Through the Looking-Glass and What Alice Found There (Alice's Adventures in Wonderland, #2)",83346
,"Inferno (Robert Langdon, #4)",17212231
,"The Heights of Perdition (The Divine Space Pirates, #1)",37643470
,Disclosure,7675
,"Dragon Ball, Vol. 1: The Monkey King (Dragon Ball, #1)",969275
,"Searching (The Starlight Chronicles, #0)",36949926
,Slumbering (The Starlight Chronicles #1),24263233
,Clockers,45794
,Midnight Bayou,114132
,"The Scorch Trials (The Maze Runner, #2)",7631105
,"The Chocolate War (Chocolate War, #1)",17162
,"Live and Let Die (James Bond, #2)",3763
,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",21996
,"To Sir, With Love",895163
,The Night Listener,138180
,We Were Soldiers Once... and Young: Ia Drang - The Battle that Changed the War in Vietnam,42512
,David Copperfield,58696
,"Unbroken: A World War II Story of Survival, Resilience and Redemption",8664353
,The Jungle Book,1851459
,"Love, Rosie",147865
,Avalon High,187812
,"You Only Live Twice (James Bond, #12)",3761
,Wanted,160848
,Pygmalion,7714
,The Last of the Mohicans (The Leatherstocking Tales #2),38296
,The Far Pavilions,10222
,John Adams,2203
,"Dance Upon the Air (Three Sisters Island, #1)",59829
,The Crow,97486
,Black Hawk Down: A Story of Modern War,55403
,House,19747756
,"Ask the Dust (The Saga of Arthur Bandini, #3)",46227
,"Tomorrow, When the War Began (Tomorrow, #1)",71865
,"Petals on the Wind (Dollanganger, #2)",226709
,"Ruby Red (Precious Stone Trilogy, #1)",8835379
,"The Spy Who Loved Me (James Bond, #10)",18455
,"Taltos (Lives of the Mayfair Witches, #3)",119091
,Heart of Darkness,4900
,"Star Trek: The Motion Picture (Star Trek TOS: Movie Novelizations, #1)",1352032
,Much Ado About Nothing,12957
,"Shōgun: A Novel of Japan (Asian Saga, #1)",13274731
,"Storm Front (The Dresden Files, #1)",764354
,The Mist,813214
,The Odessa File,149572
,Matchstick Men: A Novel about Grifters with Issues,332282
,"Blood And Gold (The Vampire Chronicles, #8)",31341
,The Midwich Cuckoos,161846
,The Orchid Thief: A True Story of Beauty and Obsession,228345
,Sideways,15781
,A Streetcar Named Desire,12220
,Forever Amber,5368
,Three Weeks With My Brother,3465
,Lightning,32424
,A Knight in Shining Armor,73385
,The Rise and Fall of the Third Reich: A History of Nazi Germany,767171
,"The Brotherhood of the Rose (Mortalis, #1)",21838
